SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments
73430006,Sleep apnoea,Sleep apnoea,,['efi'],"renamed from ""Respiratory disease"" to ""Sleep apnoea"""
78275009,Sleep apnoea,Sleep apnoea,,['efi'],"renamed from ""Respiratory disease"" to ""Sleep apnoea"""
